EcoTypeID,VegID,treeSpecfrac,EcoTypeDescription,Domain,,,,
2212,Punica granatum,0.0001559,,SCAQMD,,,,
2212,Pyrus calleryana,0.01029,,SCAQMD,,,,
2212,Pyrus kawakamii,0.0104,,SCAQMD,,,,
2212,Quercus agrifolia,0.005371,,SCAQMD,,,,
2212,Quercus ilex,0.03502,,SCAQMD,,,,
2212,Quercus lobata,0.001285,,SCAQMD,,,,
2212,Quercus palustris,0.00001285,,SCAQMD,,,,
2212,Quercus rubra,0.001843,,SCAQMD,,,,
2212,Quercus suber,0.001903,,SCAQMD,,,,
2212,Quercus virginiana,0.003269,,SCAQMD,,,,
2212,Quillaja saponaria,0.00006228,,SCAQMD,,,,
2212,Ravenea rivularis,0.0006714,,SCAQMD,,,,
2212,Rhaphiolepis 'Majestic Beauty',0.00003855,,SCAQMD,,,,
2212,Rhus lancea,0.005739,,SCAQMD,,,,
2212,Robinia pseudoacacia,0.005172,,SCAQMD,,,,
2212,Salix,0.00002936,,SCAQMD,,,,
2212,Salix babylonica,0.0002171,,SCAQMD,,,,
2212,Salix laevigata,0.00001285,,SCAQMD,,,,
2212,Salix lasiolepis,0.0001045,,SCAQMD,,,,
2212,Schefflera pueckleri,0.00002936,,SCAQMD,,,,
2212,Schinus molle,0.003488,,SCAQMD,,,,
2212,Schinus terebinthifolius,0.01377,,SCAQMD,,,,
2212,Sequoia sempervirens,0.0006919,,SCAQMD,,,,
2212,Sequoiadendron giganteum,0.0001657,,SCAQMD,,,,
2212,Sophora japonica,0.0001034,,SCAQMD,,,,
2212,Stenocarpus sinuatus,0.00001285,,SCAQMD,,,,
2212,Syagrus romanzoffiana,0.07409,,SCAQMD,,,,
2212,Syzygium paniculatum,0.0008274,,SCAQMD,,,,
2212,Tamarix aphylla,0.00001285,,SCAQMD,,,,
2212,Thevetia peruviana,0.00004221,,SCAQMD,,,,
2212,Thuja occidentalis,0.0007209,,SCAQMD,,,,
2212,Tipuana tipu,0.0002769,,SCAQMD,,,,
2212,Trachycarpus fortunei,0.001915,,SCAQMD,,,,
2212,Tristaniopsis laurina,0.0007195,,SCAQMD,,,,
2212,Ulmus parvifolia,0.01121,,SCAQMD,,,,
2212,Ulmus pumila,0.0004864,,SCAQMD,,,,
2212,UNKNOWN Tree,0.0004635,,SCAQMD,,,,
2212,Washingtonia filifera,0.02158,,SCAQMD,,,,
2212,Washingtonia robusta,0.05601,,SCAQMD,,,,
2212,Wisteria sinensis,0.00003855,,SCAQMD,,,,
2212,Xylosma congestum,0.0003723,,SCAQMD,,,,
2212,Yucca gloriosa,0.005423,,SCAQMD,,,,
2212,Zelkova serrata,0.0007838,,SCAQMD,,,,
2214,Acacia baileyana,0.008861,,SCAQMD,,,,
2214,Acacia baileyana,0.000009612,,SCAQMD,,,,
2214,Acacia decurrens,0.00005605,,SCAQMD,,,,
2214,Acacia longifolia,0.0003668,,SCAQMD,,,,
